fold,date,task,model,scope,oos_r2,mse,mae,pearson_ic,rank_ic,roc_auc,pr_auc,brier,accuracy,class_balance
1,2025-01-12,regression,training_mean,reference,0.0,7.648093562542244e-9,0.00003784427037409747,0.0,0.0,,,,,
1,2025-01-13,regression,training_mean,reference,0.0,7.311199557659336e-8,0.00017817793639641018,0.0,0.0,,,,,
1,2025-01-14,regression,training_mean,reference,0.0,3.643477044109731e-8,0.00011149000580409426,0.0,0.0,,,,,
1,2025-01-15,regression,training_mean,reference,0.0,3.366187170533936e-8,0.00010100325750013783,0.0,0.0,,,,,
1,2025-01-16,regression,training_mean,reference,0.0,3.336654523857397e-8,0.00010126897111181289,0.0,0.0,,,,,
1,2025-01-12,regression,zero_return,reference,1.3426803002758447e-9,7.64809355227328e-9,0.000037844220425679004,0.0,0.0,,,,,
1,2025-01-13,regression,zero_return,reference,5.234046529523084e-11,7.311199557276637e-8,0.00017817792318847089,0.0,0.0,,,,,
1,2025-01-14,regression,zero_return,reference,-1.002005456385291e-8,3.643477080617461e-8,0.00011148997861496724,0.0,0.0,,,,,
1,2025-01-15,regression,zero_return,reference,-2.0600790850977546e-8,3.3661872398799244e-8,0.00010100322665148153,0.0,0.0,,,,,
1,2025-01-16,regression,zero_return,reference,2.618389283171041e-9,3.3366545151206645e-8,0.00010126894080065581,0.0,0.0,,,,,
1,2025-01-12,regression,linear,baseline,0.023472046724483775,7.468577153089017e-9,0.00004307805833329312,0.153744466883257,0.15958632804440565,,,,,
1,2025-01-13,regression,linear,baseline,0.007400372840467462,7.257093955021553e-8,0.00017866637471271034,0.0861174526158582,0.11089783059231101,,,,,
1,2025-01-14,regression,linear,baseline,0.008393935771736749,3.612893931815568e-8,0.00011400053394722635,0.09207504836579686,0.10985807474513481,,,,,
1,2025-01-15,regression,linear,baseline,0.009920118783257048,3.33279419395545e-8,0.00010358536356314933,0.10060913991253785,0.13324257654615482,,,,,
1,2025-01-16,regression,linear,baseline,0.010940148723351029,3.300151027127885e-8,0.00010370351928971346,0.10480930963588356,0.13984587349009428,,,,,
1,2025-01-12,regression,linear,expanded,0.06180138947208569,7.175430753564608e-9,0.00004376731932426919,0.24962020690471617,0.2884905904761885,,,,,
1,2025-01-13,regression,linear,expanded,0.01692053950089234,7.187490116745019e-8,0.00017781891146055197,0.1308223569308859,0.17085905469800253,,,,,
1,2025-01-14,regression,linear,expanded,0.021637164212071958,3.5646425330033054e-8,0.0001133756160229425,0.1481942680210611,0.2003628779706696,,,,,
1,2025-01-15,regression,linear,expanded,0.023442674232771354,3.287274741288459e-8,0.00010339255319867195,0.15714584111455562,0.2183495958416405,,,,,
1,2025-01-16,regression,linear,expanded,0.0282306565693361,3.242458575903789e-8,0.00010338660815679012,0.17012846771381335,0.2363724541456815,,,,,
1,2025-01-12,regression,ridge,baseline,0.023472058324654488,7.468577064369835e-9,0.00004307805280799357,0.15374449207904814,0.15958633883615755,,,,,
1,2025-01-13,regression,ridge,baseline,0.00740037868727661,7.257093912274358e-8,0.00017866637314790682,0.0861174894148012,0.11089788435803964,,,,,
1,2025-01-14,regression,ridge,baseline,0.008393945000885639,3.612893898189373e-8,0.00011400053068139297,0.09207508881425429,0.10985809604423025,,,,,
1,2025-01-15,regression,ridge,baseline,0.009920116230767273,3.332794202547611e-8,0.00010358536067509964,0.10060912669537213,0.13324260008146602,,,,,
1,2025-01-16,regression,ridge,baseline,0.010940148884834633,3.3001510265890666e-8,0.00010370351637308275,0.10480931620393091,0.13984588301226702,,,,,
1,2025-01-12,regression,ridge,expanded,0.06180047506532471,7.175437747033074e-9,0.000043767536865310626,0.24961851783235992,0.28848938762530696,,,,,
1,2025-01-13,regression,ridge,expanded,0.01697270589381472,7.187108717836156e-8,0.0001778171420024867,0.13106213710717857,0.1708585616038959,,,,,
1,2025-01-14,regression,ridge,expanded,0.021696227046801853,3.564427338920805e-8,0.00011337446865811603,0.14840695351676336,0.20036093682402673,,,,,
1,2025-01-15,regression,ridge,expanded,0.023442635268516976,3.287274872449429e-8,0.00010339263686616644,0.1571458641876968,0.218347556318288,,,,,
1,2025-01-16,regression,ridge,expanded,0.028256477978532146,3.242372418781985e-8,0.00010338590525934938,0.1702222482492916,0.23637187861381495,,,,,
1,2025-01-12,classification,logistic,baseline,,,,,,0.603585490066585,0.44202726863235325,0.2162718925529637,0.6713124811890816,0.3336999050772116
1,2025-01-13,classification,logistic,baseline,,,,,,0.5748864288817059,0.5160641024522726,0.24694410113454862,0.5589188563491145,0.45602500289385345
1,2025-01-14,classification,logistic,baseline,,,,,,0.5694057639230206,0.4699785512712725,0.23953339295160367,0.5928626824553483,0.4094755240707944
1,2025-01-15,classification,logistic,baseline,,,,,,0.5837383425394905,0.46629945067226974,0.235534359483333,0.604468109734923,0.39729135316587566
1,2025-01-16,classification,logistic,baseline,,,,,,0.5849337562588269,0.4701833889111588,0.23564425085268406,0.6039402252549455,0.39908092278130824
1,2025-01-12,classification,logistic,expanded,,,,,,0.6577679373031083,0.4972571687942478,0.20676607429873894,0.6885374945014239,0.3336999050772116
1,2025-01-13,classification,logistic,expanded,,,,,,0.608537944647801,0.5434795261044111,0.24213452527518056,0.5786317860863526,0.45602500289385345
1,2025-01-14,classification,logistic,expanded,,,,,,0.6151075341983753,0.5128016950124579,0.23345187855115213,0.6116377863434849,0.4094755240707944
1,2025-01-15,classification,logistic,expanded,,,,,,0.624974000014155,0.5087191509979617,0.22975195541796092,0.6230466489176988,0.39729135316587566
1,2025-01-16,classification,logistic,expanded,,,,,,0.6350967064479698,0.5167802366291424,0.22831817131961507,0.6244400458381081,0.39908092278130824
2,2025-01-17,regression,training_mean,reference,0.0,3.089813666007615e-8,0.00009912215697248661,0.0,0.0,,,,,
2,2025-01-18,regression,training_mean,reference,0.0,2.3085933623509275e-8,0.00008314999047945034,0.0,0.0,,,,,
2,2025-01-19,regression,training_mean,reference,0.0,6.499140633369558e-8,0.00013429738237768121,0.0,0.0,,,,,
2,2025-01-20,regression,training_mean,reference,0.0,2.6118722708977265e-7,0.0003188563449490356,0.0,0.0,,,,,
2,2025-01-21,regression,training_mean,reference,0.0,9.477755712649317e-8,0.0002089785045155768,-5.845212156611718e-17,0.0,,,,,
2,2025-01-17,regression,zero_return,reference,-0.000030466490032576843,3.0899078017849455e-8,0.0000990600814388884,0.0,0.0,,,,,
2,2025-01-18,regression,zero_return,reference,-2.8201118038584383e-6,2.308599872842259e-8,0.00008308437334222796,0.0,0.0,,,,,
2,2025-01-19,regression,zero_return,reference,0.000012513647389078564,6.499059305415293e-8,0.00013424561207996,0.0,0.0,,,,,
2,2025-01-20,regression,zero_return,reference,-8.051974771383641e-7,2.6118743739706956e-7,0.00031884945646168974,0.0,0.0,,,,,
2,2025-01-21,regression,zero_return,reference,-9.226847219601098e-6,9.477843162453192e-8,0.00020896096767698816,0.0,0.0,,,,,
2,2025-01-17,regression,linear,baseline,0.012125924999020987,3.052346817232732e-8,0.00010144681783229709,0.11118906342100818,0.14286030616949366,,,,,
2,2025-01-18,regression,linear,baseline,0.022522792109279433,2.2565973939857742e-8,0.00008528755929976773,0.1578056066958406,0.20319661114670112,,,,,
2,2025-01-19,regression,linear,baseline,0.007571299293419487,6.44993369448425e-8,0.0001359343210706356,0.08811425207145171,0.14245977782785582,,,,,
2,2025-01-20,regression,linear,baseline,0.005480204556959634,2.5975586765765627e-7,0.0003185208569612319,0.0743593552468731,0.08432955870665833,,,,,
2,2025-01-21,regression,linear,baseline,0.006884524542848158,9.412505870834438e-8,0.000209372626248831,0.08288548307198246,0.09718068603664701,,,,,
2,2025-01-17,regression,linear,expanded,0.028767691677240248,3.0009268591238586e-8,0.00010130311348036546,0.17297007423342617,0.2302831583339279,,,,,
2,2025-01-18,regression,linear,expanded,0.045374985275838386,2.2038409725262928e-8,0.00008514933341655215,0.21935802150924008,0.29932112121547294,,,,,
2,2025-01-19,regression,linear,expanded,0.00934056170367914,6.438435009262638e-8,0.0001375843758782107,0.11780554630161794,0.2133594826244365,,,,,
2,2025-01-20,regression,linear,expanded,-0.0005541170033900311,2.613319553733723e-7,0.00031950775551489307,0.05837771325921817,0.09762566562957567,,,,,
2,2025-01-21,regression,linear,expanded,0.01656962721154187,9.320712833688614e-8,0.00020850206914859975,0.1343630910701893,0.1642970294209485,,,,,
2,2025-01-17,regression,ridge,baseline,0.012125922365765707,3.052346825368997e-8,0.00010144681649697344,0.11118905488171282,0.1428603355802129,,,,,
2,2025-01-18,regression,ridge,baseline,0.022522791753023075,2.2565973948082234e-8,0.0000852875577437674,0.1578056267938081,0.20319660369322715,,,,,
2,2025-01-19,regression,ridge,baseline,0.007571306351796925,6.449933648610857e-8,0.00013593431949285705,0.08811429774776734,0.1424597974938041,,,,,
2,2025-01-20,regression,ridge,baseline,0.005480211550876413,2.5975586583093437e-7,0.0003185208563209379,0.07435941210486634,0.08432952744695499,,,,,
2,2025-01-21,regression,ridge,baseline,0.006884524418611426,9.41250587201189e-8,0.0002093726256432685,0.08288548366802645,0.09718068419239959,,,,,
2,2025-01-17,regression,ridge,expanded,0.02876765235721801,3.0009269806154e-8,0.00010130311415708549,0.17297001266432666,0.23028333658633293,,,,,
2,2025-01-18,regression,ridge,expanded,0.04537510822369151,2.2038406886896987e-8,0.00008514933093827897,0.21935849516239733,0.2993216275070524,,,,,
2,2025-01-19,regression,ridge,expanded,0.009342465129322686,6.438422638631693e-8,0.0001375841518074745,0.11781412076815255,0.2133598142662468,,,,,
2,2025-01-20,regression,ridge,expanded,-0.0005547492363955353,2.613321205045578e-7,0.00031950805884421767,0.05837305293167752,0.09762581136750903,,,,,
2,2025-01-21,regression,ridge,expanded,0.016569520780026936,9.320713842420481e-8,0.00020850207944888722,0.13436290683374258,0.16429684603148556,,,,,
2,2025-01-17,classification,logistic,baseline,,,,,,0.5776797946585163,0.45983699455795396,0.23620541972245856,0.6024818836385526,0.39747181256222075
2,2025-01-18,classification,logistic,baseline,,,,,,0.5960333398269385,0.4752538927969746,0.2333631643583368,0.6076744993633523,0.3949299687463827
2,2025-01-19,classification,logistic,baseline,,,,,,0.5744783549749367,0.4734049716752698,0.2416838438953022,0.5856349114480842,0.4163444843153143
2,2025-01-20,classification,logistic,baseline,,,,,,0.527266403487326,0.5126152113905071,0.26131511884284336,0.5189952540803334,0.49060076397731217
2,2025-01-21,classification,logistic,baseline,,,,,,0.5496817662685447,0.5117380274810637,0.2524360142335542,0.5350772614155912,0.4740667862723537
2,2025-01-17,classification,logistic,expanded,,,,,,0.6173937135237195,0.5014846728130237,0.23075813222878824,0.619591137452828,0.39747181256222075
2,2025-01-18,classification,logistic,expanded,,,,,,0.6466215066615615,0.5274088332796334,0.22456995124472182,0.6369255700891306,0.3949299687463827
2,2025-01-19,classification,logistic,expanded,,,,,,0.6160291999845151,0.504724400359134,0.23994228287800057,0.5968630628544971,0.4163444843153143
2,2025-01-20,classification,logistic,expanded,,,,,,0.5399596103298534,0.5175532698812482,0.276709642828851,0.5234517884014354,0.49060076397731217
2,2025-01-21,classification,logistic,expanded,,,,,,0.5887032232468415,0.541970692607559,0.24782371208446186,0.5648706522368193,0.4740667862723537
3,2025-01-22,regression,training_mean,reference,0.0,3.5226581649542766e-8,0.00011031063801058106,-6.800969847053563e-18,0.0,,,,,
3,2025-01-23,regression,training_mean,reference,0.0,1.4997377303558927e-7,0.0001954591181957423,1.3729561459424058e-16,0.0,,,,,
3,2025-01-24,regression,training_mean,reference,0.0,3.2921869490909416e-8,0.00010519783081512043,-4.669948706514188e-17,0.0,,,,,
3,2025-01-25,regression,training_mean,reference,0.0,8.49296861432258e-9,0.00003825320852741403,-2.4733662220723506e-17,0.0,,,,,
3,2025-01-26,regression,training_mean,reference,0.0,9.400480295835434e-9,0.00003264704483193678,-4.907720999771296e-16,0.0,,,,,
3,2025-01-22,regression,zero_return,reference,0.000029633215415270087,3.522553777266123e-8,0.000110215082036182,0.0,0.0,,,,,
3,2025-01-23,regression,zero_return,reference,1.8325785888784196e-7,1.4997374555171747e-7,0.00019540130915802586,0.0,0.0,,,,,
3,2025-01-24,regression,zero_return,reference,-7.469188527009507e-6,3.292211539056027e-8,0.00010510244079815951,0.0,0.0,,,,,
3,2025-01-25,regression,zero_return,reference,0.00001773855978948191,8.492817961291835e-9,0.0000380654557915704,0.0,0.0,,,,,
3,2025-01-26,regression,zero_return,reference,0.000097669118786059,9.399562159208805e-9,0.000032438546874203105,0.0,0.0,,,,,
3,2025-01-22,regression,linear,baseline,0.012144521765177996,3.479877166198784e-8,0.00011264912277271425,0.11071539858178508,0.14996637819351583,,,,,
3,2025-01-23,regression,linear,baseline,0.0037725490378868187,1.494079896224166e-7,0.000197311986994956,0.06332554582990066,0.086264488898149,,,,,
3,2025-01-24,regression,linear,baseline,0.012024597474260657,3.252599726218207e-8,0.00010786918986702723,0.10965507470789645,0.13546361970350804,,,,,
