fold,task,model,scope,decile,observations,mean_prediction,mean_actual
1,regression,linear,baseline,1,43195,-0.000030881668395956615,-0.00003063158142687228
1,regression,linear,baseline,2,43195,-0.000017490864749351445,-0.00001913691303650808
1,regression,linear,baseline,3,43195,-0.000013252080368122215,-0.000011301061184178125
1,regression,linear,baseline,4,43195,-8.296461726493892e-6,-6.722656467569451e-6
1,regression,linear,baseline,5,43194,-3.326576827683464e-6,-3.7883764987168123e-6
1,regression,linear,baseline,6,43195,8.987913865455914e-7,3.4942809013645865e-6
1,regression,linear,baseline,7,43195,5.397165732133528e-6,6.896612748717396e-6
1,regression,linear,baseline,8,43195,0.000011427494598372462,0.000011381223845008439
1,regression,linear,baseline,9,43195,0.000017586920844554648,0.000016347123903929574
1,regression,linear,baseline,10,43194,0.000032583983264353574,0.000039835991057596775
1,regression,linear,expanded,1,43195,-0.00005081583338555387,-0.00005090044706937772
1,regression,linear,expanded,2,43195,-0.00002832000472314665,-0.0000327004230300903
1,regression,linear,expanded,3,43195,-0.000018785318521114304,-0.000016169377582525143
1,regression,linear,expanded,4,43195,-0.000011930567120129357,-9.425307771945567e-6
1,regression,linear,expanded,5,43194,-6.007855854217459e-6,-4.0677652115981615e-6
1,regression,linear,expanded,6,43195,-3.6315604557576925e-7,2.103518066980686e-6
1,regression,linear,expanded,7,43195,5.613947626297168e-6,9.836679158806102e-6
1,regression,linear,expanded,8,43195,0.000012687147618151622,0.00001811353643291119
1,regression,linear,expanded,9,43195,0.00002258304031897903,0.00003314973794245626
1,regression,linear,expanded,10,43194,0.00004735919176979308,0.00005643487071687679
1,regression,ridge,baseline,1,43195,-0.00003088163677956353,-0.00003063158142687228
1,regression,ridge,baseline,2,43195,-0.000017490849821692574,-0.00001913691303650808
1,regression,ridge,baseline,3,43195,-0.000013252069766850759,-0.000011301061184178125
1,regression,ridge,baseline,4,43195,-8.29645345671604e-6,-6.722656467569451e-6
1,regression,ridge,baseline,5,43194,-3.326571728450693e-6,-3.7883764987168123e-6
1,regression,ridge,baseline,6,43195,8.987922517338387e-7,3.4942809013645865e-6
1,regression,ridge,baseline,7,43195,5.397162237802462e-6,6.896612748717396e-6
1,regression,ridge,baseline,8,43195,0.00001142748659745913,0.000011381223845008439
1,regression,ridge,baseline,9,43195,0.000017586907251338438,0.000016347123903929574
1,regression,ridge,baseline,10,43194,0.00003258395717122762,0.000039835991057596775
1,regression,ridge,expanded,1,43195,-0.00005081295017750565,-0.00005088417627249235
1,regression,ridge,expanded,2,43195,-0.000028319636511756125,-0.00003273654495291087
1,regression,ridge,expanded,3,43195,-0.000018785535026904152,-0.000016153926812987934
1,regression,ridge,expanded,4,43195,-0.000011930907816556894,-9.378106337655226e-6
1,regression,ridge,expanded,5,43194,-6.008163104623463e-6,-4.122545734058248e-6
1,regression,ridge,expanded,6,43195,-3.6335451967462147e-7,2.109857989893085e-6
1,regression,ridge,expanded,7,43195,5.613858828763976e-6,9.840480175917122e-6
1,regression,ridge,expanded,8,43195,0.000012687072056141609,0.000018086623333499165
1,regression,ridge,expanded,9,43195,0.000022582858902886034,0.000033175447428038535
1,regression,ridge,expanded,10,43194,0.00004735336295775135,0.000056437911637436244
1,classification,logistic,baseline,1,43195,0.28207486788408476,0.2928579696724158
1,classification,logistic,baseline,2,43195,0.3071324333525975,0.3246440560250029
1,classification,logistic,baseline,3,43195,0.32278106541956375,0.32985299224447273
1,classification,logistic,baseline,4,43195,0.34131245652796177,0.35809700196782035
1,classification,logistic,baseline,5,43194,0.36313687194556094,0.3753993610223642
1,classification,logistic,baseline,6,43195,0.38683569933865286,0.38916541266350274
1,classification,logistic,baseline,7,43195,0.4086100985968663,0.41935409190878575
1,classification,logistic,baseline,8,43195,0.4363868983057691,0.4696839912026855
1,classification,logistic,baseline,9,43195,0.47288868437120574,0.5051510591503646
1,classification,logistic,baseline,10,43194,0.565711902316701,0.5269481872482289
1,classification,logistic,expanded,1,43195,0.21657148208029844,0.2219932862599838
1,classification,logistic,expanded,2,43195,0.2615201007028811,0.27887486977659454
1,classification,logistic,expanded,3,43195,0.2914141493661025,0.3130454913763167
1,classification,logistic,expanded,4,43195,0.3189498903563054,0.34221553420534784
1,classification,logistic,expanded,5,43194,0.34668934872657464,0.37079223966291613
1,classification,logistic,expanded,6,43195,0.37626416191635753,0.40523208704711194
1,classification,logistic,expanded,7,43195,0.40956547388993453,0.4396805185785392
1,classification,logistic,expanded,8,43195,0.44975808319616617,0.48644519041555734
1,classification,logistic,expanded,9,43195,0.5029590859487837,0.5344368561176062
1,classification,logistic,expanded,10,43194,0.6056838940978173,0.5984395980923276
2,regression,linear,baseline,1,43196,-0.00003770003067815204,-0.00004851583401989409
2,regression,linear,baseline,2,43195,-0.000018046407309624908,-0.000027156564254297114
2,regression,linear,baseline,3,43195,-0.000012911858884283409,-0.000016686796614525513
2,regression,linear,baseline,4,43195,-7.417590214603196e-6,-9.619883695780567e-6
2,regression,linear,baseline,5,43195,-2.1720209312601585e-6,-2.091353897691779e-6
