scope,term,coefficient,standard_error,t_value,p_value,observations,hac_max_lags
baseline,intercept,1.5667503469012127e-7,3.0331740891247854e-7,0.5165382206443991,0.605478551623122,518350,12
baseline,spot_log_return_1000ms,0.000010634080607246445,1.2155160546883626e-6,8.748613863411983,2.1598936232703695e-18,518350,12
baseline,spot_log_return_5000ms,2.5073176258860418e-6,1.3845645226935824e-6,1.8109070287372484,0.07015524439248569,518350,12
baseline,spot_quantity_imbalance_1000ms,7.688043774971408e-6,4.034623955657676e-7,19.055168113475883,5.9525014894753925e-81,518350,12
baseline,spot_quantity_imbalance_5000ms,6.948163936664184e-6,5.765105196680008e-7,12.052102606324464,1.890646979398183e-33,518350,12
baseline,spot_trade_count_1000ms,1.1562610624558721e-6,1.4283142038872025e-6,0.8095285052189993,0.41821121335626876,518350,12
baseline,spot_realised_volatility_5000ms,5.45321500795659e-7,1.877940032853503e-6,0.2903828084260235,0.7715233942631657,518350,12
expanded,intercept,1.5667503469012127e-7,3.005080469873054e-7,0.521367185540758,0.6021110061898423,518350,12
expanded,spot_log_return_1000ms,9.226390173601765e-6,1.2485115686343769e-6,7.389911639900621,1.4692641858129485e-13,518350,12
expanded,spot_log_return_5000ms,2.4858057452253636e-7,1.4729247331203267e-6,0.16876665109420036,0.8659801905785887,518350,12
expanded,spot_quantity_imbalance_1000ms,6.366460886593479e-6,3.8329212147541985e-7,16.609944556352573,5.9047752469486055e-62,518350,12
expanded,spot_quantity_imbalance_5000ms,3.6912764566091017e-6,5.062260510415666e-7,7.291755232695459,3.0594262411273076e-13,518350,12
expanded,spot_trade_count_1000ms,9.784619587635448e-7,1.4381086756101738e-6,0.6803810973106007,0.4962631867655992,518350,12
expanded,spot_realised_volatility_5000ms,-4.582500002863267e-7,1.9236521293448447e-6,-0.23821874719229874,0.8117114374489458,518350,12
expanded,perpetual_quantity_imbalance_1000ms,7.671935973830817e-6,3.1809198034705904e-7,24.118608603273294,1.5948259952244623e-128,518350,12
expanded,perpetual_quantity_imbalance_5000ms,6.710006288299513e-6,4.0612186426677236e-7,16.52214982420119,2.5417421300840857e-61,518350,12
expanded,spot_perp_log_basis,6.464541160025886e-6,8.250003891776544e-7,7.8358037703104895,4.658529328556138e-15,518350,12
