decile,rows,mean_prediction,mean_actual
1,86393,-0.00006189384562306407,-0.00005945512197554744
2,86393,-0.000038736979228023907,-0.00003880055300953866
3,86393,-0.00002385290741623065,-0.000022927296828164806
4,86393,-0.000013938168854932628,-9.144326643117654e-6
5,86393,-7.148214233314408e-6,-3.823152127830662e-6
6,86393,-1.0581849362293283e-6,1.2799032234825328e-6
7,86392,5.743457056992729e-6,8.734108623539157e-6
8,86392,0.00001597862509275285,0.000021334202876944823
9,86392,0.00003195382962256931,0.00003817885263822018
10,86392,0.00005850415105403053,0.00006212937154202592
