symbol,date,rows,predictor_count,label_count,first_decision_time_ns,last_decision_time_ns,primary_label_nulls,mean_spot_trades_1s,mean_perpetual_trades_1s,mean_log_basis,std_log_basis,std_target_spot_return_5s
BTCUSDT,2025-01-02,86394,157,6,1735776006000000000,1735862399000000000,4,15.037132208255203,17.42303863694238,-0.00021861967672307808,0.00010590259207463767,0.00017260765293496217
ETHUSDT,2025-01-02,86394,157,6,1735776006000000000,1735862399000000000,4,9.447345880500961,16.509514549621503,-0.00016923925789146698,0.00010452354148078988,0.00019958485497738353
BTCUSDT,2025-01-03,86399,157,6,1735862401000000000,1735948799000000000,4,11.692288105186403,12.147571152443893,-0.00041818598682983064,0.00008339798140003951,0.00012037533015482362
ETHUSDT,2025-01-03,86394,157,6,1735862406000000000,1735948799000000000,4,8.352802277935968,14.40451883232632,-0.00027181171063329646,0.00008764797212710506,0.00016974242277310774
BTCUSDT,2025-01-04,86394,157,6,1735948806000000000,1736035199000000000,4,7.139882399240688,6.7813852813852815,-0.0004063737496827482,0.0000858736805952722,0.00007093902745458944
ETHUSDT,2025-01-04,86399,157,6,1735948801000000000,1736035199000000000,4,6.2649104735008505,10.692010324193568,-0.00027354876626261513,0.00007559314347872638,0.00013462207615303712
BTCUSDT,2025-01-05,86399,157,6,1736035201000000000,1736121599000000000,4,6.731258463639626,6.776918714336971,-0.0003896947147655219,0.00008884157477560497,0.00007440812647642894
ETHUSDT,2025-01-05,86394,157,6,1736035206000000000,1736121599000000000,4,5.34131999907401,8.988564020649582,-0.00031934536810564076,0.00007761653026800161,0.0001112667575362446
BTCUSDT,2025-01-06,86394,157,6,1736121606000000000,1736207999000000000,4,15.70699354121814,18.529643262263583,-0.00038288065096575173,0.00008020156052440762,0.00015494661281312573
ETHUSDT,2025-01-06,86394,157,6,1736121606000000000,1736207999000000000,4,9.781142208949696,16.614417667893605,-0.0002840924835348167,0.00007571167288907495,0.0001903876780840331
BTCUSDT,2025-01-07,86394,157,6,1736208006000000000,1736294399000000000,4,18.813308794592217,22.009456675232077,-0.00035380077562569354,0.00010932499510519827,0.0001916363603393013
ETHUSDT,2025-01-07,86394,157,6,1736208006000000000,1736294399000000000,4,14.268664490589625,23.139245780957012,-0.00030059245065676275,0.00011833560622133718,0.0003138373414412255
BTCUSDT,2025-01-08,86394,157,6,1736294406000000000,1736380799000000000,4,22.49958330439614,25.295008912655973,-0.000366995358083376,0.000092338347511496,0.00022042360536488417
ETHUSDT,2025-01-08,86394,157,6,1736294406000000000,1736380799000000000,4,16.01723499317082,27.236370581290366,-0.00038286951095088716,0.00009442327462244971,0.00029907130665735563
BTCUSDT,2025-01-09,86394,157,6,1736380806000000000,1736467199000000000,4,24.14255619603213,24.739032803203926,-0.0004396710288730971,0.00009422701343120936,0.0002182877207334562
ETHUSDT,2025-01-09,86394,157,6,1736380806000000000,1736467199000000000,4,14.575039933328704,23.794163946570364,-0.00040244158967930833,0.00009656763764987303,0.00027776770667526057
BTCUSDT,2025-01-10,86394,157,6,1736467206000000000,1736553599000000000,4,23.278699909715954,25.672650878533233,-0.00046091262820599244,0.00009234315484551287,0.000233879125829185
ETHUSDT,2025-01-10,86394,157,6,1736467206000000000,1736553599000000000,4,14.293492603653032,21.722260805148505,-0.00042271023055611887,0.00007802966614926092,0.00027565411699688106
BTCUSDT,2025-01-11,86399,157,6,1736553601000000000,1736639999000000000,4,7.410780217363627,6.5562680123612544,-0.00045674607680867087,0.00007757475807762253,0.0000753235498682307
ETHUSDT,2025-01-11,86394,157,6,1736553606000000000,1736639999000000000,4,5.520267611176702,9.035997870222468,-0.0003663561954562342,0.00008204671538188857,0.00012825132076524245
BTCUSDT,2025-01-12,86399,157,6,1736640001000000000,1736726399000000000,4,7.971909397099504,7.352365189411914,-0.0004432160067950472,0.00008587440925678125,0.00008744942657334254
ETHUSDT,2025-01-12,86394,157,6,1736640006000000000,1736726399000000000,4,5.4135703868324185,8.41865175822395,-0.00038253370769835744,0.00008630335208535472,0.0001253126848137117
BTCUSDT,2025-01-13,86394,157,6,1736726406000000000,1736812799000000000,4,27.918536009445102,32.31085492048059,-0.0004054466308843954,0.00009272388524810506,0.0002703938640644822
ETHUSDT,2025-01-13,86394,157,6,1736726406000000000,1736812799000000000,4,24.381554274602404,33.206634720003706,-0.00038470139683353884,0.00014673169062665928,0.0003829322541476011
BTCUSDT,2025-01-14,86395,157,6,1736812805000000000,1736899199000000000,4,18.68961166734186,19.532172000694484,-0.00041613506761252407,0.000082918053755821,0.00019087617690448393
ETHUSDT,2025-01-14,86399,157,6,1736812801000000000,1736899199000000000,4,11.211414483963935,17.138994664290095,-0.0004279828275584619,0.00007948823319754754,0.000230956469801912
BTCUSDT,2025-01-15,86394,157,6,1736899206000000000,1736985599000000000,4,18.51511679051786,19.45839988888117,-0.00045380974104050403,0.00008729477976678139,0.00018345825395822866
ETHUSDT,2025-01-15,86394,157,6,1736899206000000000,1736985599000000000,4,13.19444637359076,19.815600620413456,-0.00042442195856103564,0.00008898897830889083,0.00023794400323941776
BTCUSDT,2025-01-16,86395,157,6,1736985605000000000,1737071999000000000,4,18.367312923201574,19.051449736674577,-0.00044781697899270274,0.0000890713025825161,0.00018266594321871915
ETHUSDT,2025-01-16,86394,157,6,1736985606000000000,1737071999000000000,4,12.801456119637939,20.533798643424312,-0.0004135753559238635,0.00009959968390703675,0.00023970533734331376
BTCUSDT,2025-01-17,86394,157,6,1737072006000000000,1737158399000000000,4,19.87761881612149,21.288145010070142,-0.00045815435334474285,0.00010737365646955248,0.00017576296877484544
ETHUSDT,2025-01-17,86394,157,6,1737072006000000000,1737158399000000000,4,13.396509016829873,18.9801953839387,-0.00034819818448203585,0.00008309168808744891,0.00022312685757560653
BTCUSDT,2025-01-18,86394,157,6,1737158406000000000,1737244799000000000,4,16.487950552121674,15.429717341482048,-0.00035629061674308937,0.00008401153279124002,0.00015194143167467574
ETHUSDT,2025-01-18,86394,157,6,1737158406000000000,1737244799000000000,4,17.686668055652014,24.23713452323078,-0.0003676389158855435,0.00008617209536160116,0.00028491420569426386
BTCUSDT,2025-01-19,86394,157,6,1737244806000000000,1737331199000000000,4,28.104856818760563,26.521899668958493,-0.00014674958306626828,0.00014101160097900454,0.00025492759917767027
ETHUSDT,2025-01-19,86394,157,6,1737244806000000000,1737331199000000000,4,33.78514711669792,45.18742042271454,-0.0001472881211243212,0.00019603183125178422,0.0005049069663414228
BTCUSDT,2025-01-20,86394,157,6,1737331206000000000,1737417599000000000,4,54.60176632636526,62.91493622242285,0.00002588726039109709,0.000328151134929486,0.0005110676076601074
ETHUSDT,2025-01-20,86399,157,6,1737331201000000000,1737417599000000000,4,35.56784222039607,54.38086088959363,-0.00012268441963579572,0.00016999432686727345,0.0005582861021657316
BTCUSDT,2025-01-21,86399,157,6,1737417601000000000,1737503999000000000,4,32.85503304436394,35.093172374680265,-0.00018796361265119478,0.00012308350058076834,0.00030785523955072935
ETHUSDT,2025-01-21,86396,157,6,1737417604000000000,1737503999000000000,4,18.330547710542156,28.885087272558916,-0.0002187443540710344,0.00008900201955180999,0.00032465725875505726
BTCUSDT,2025-01-22,86399,157,6,1737504001000000000,1737590399000000000,4,17.418951608236206,18.772647831572126,-0.00028523651152265704,0.00011568256036371551,0.00018769467240697298
ETHUSDT,2025-01-22,86399,157,6,1737504001000000000,1737590399000000000,4,10.35011979305316,15.123184296114538,-0.00026561682622995445,0.0000989081100450228,0.00021073506119134353
BTCUSDT,2025-01-23,86394,157,6,1737590406000000000,1737676799000000000,4,36.40782924740144,46.203741000532446,-0.00039516841411041143,0.00011575339858463103,0.00038726665926096254
ETHUSDT,2025-01-23,86394,157,6,1737590406000000000,1737676799000000000,4,16.775007523670624,24.977949857629003,-0.00029414403348413493,0.00009633333290624859,0.0003080380467839288
BTCUSDT,2025-01-24,86399,157,6,1737676801000000000,1737763199000000000,4,17.572205696825193,19.03910924894964,-0.0004211213383923305,0.00007795484685527012,0.00018144478934917614
ETHUSDT,2025-01-24,86399,157,6,1737676801000000000,1737763199000000000,4,13.257676593479092,19.79243972731166,-0.00028842366482260176,0.00011035638931745136,0.00023556639693941465
BTCUSDT,2025-01-25,86394,157,6,1737763206000000000,1737849599000000000,4,7.405340648656157,7.7188230664166495,-0.0004310905983362447,0.00007203206075088888,0.00009215700274325988
ETHUSDT,2025-01-25,86399,157,6,1737763201000000000,1737849599000000000,4,6.765170893181634,10.336832602229192,-0.0004350542954795582,0.0000650162905972162,0.00014693254340263087
BTCUSDT,2025-01-26,86394,157,6,1737849606000000000,1737935999000000000,4,7.582077459082806,7.468990902145983,-0.00038974179724370495,0.00008841386180250491,0.00009694451264773976
ETHUSDT,2025-01-26,86399,157,6,1737849601000000000,1737935999000000000,4,6.953413812659869,9.633815206194516,-0.0004316006007017911,0.00008065495925879816,0.0001422749603340492
BTCUSDT,2025-01-27,86394,157,6,1737936006000000000,1738022399000000000,4,34.279718498969835,37.98308910340996,-0.00045027213183666207,0.00010096924555385411,0.0002976830106470499
ETHUSDT,2025-01-27,86394,157,6,1737936006000000000,1738022399000000000,4,23.677801699192074,31.65002199226798,-0.00043330203073824587,0.00008331510193336978,0.0003552043599347203
BTCUSDT,2025-01-28,86394,157,6,1738022406000000000,1738108799000000000,4,17.935203833599555,19.28598050790564,-0.000432362218425025,0.00008461355944712781,0.00019043081261869754
ETHUSDT,2025-01-28,86399,157,6,1738022401000000000,1738108799000000000,4,11.671292491811247,17.836919408789452,-0.0004186070016736512,0.00007806049207042815,0.00023415729779038873
